trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.62017585426437,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-99.81827539187901,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-229.01476028737858,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.06899022278961,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-174.8065500091169,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-59.56341152339935,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-64.48436728476956,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-28.381151138037673,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-95.1993945824311,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,9,-17.218365770246205,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-92.71042331124659,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-29.05940418549235,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-4.974637698900268,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-49.009145668963754,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,22,13.466814406643646,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-95.51438801774805,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-19.554557288489644,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,13.402216634189383,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,-25.706164335391847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-14.383808471565459,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,7,20.079328231190907,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,5.004805394043281,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,20,-24.958801651770287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-82.01427128263266,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-125.4270150916443,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,11,-22.41214011110796,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,2,-48.64703625882286,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-116.40707582500261,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-85.09921024047323,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-80.51422038181873,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
