trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-14.661812884816305,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-68.12645040520533,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-33.758775104730425,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,14,-74.21136338179542,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,11,-60.677341445253504,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,2,-65.69933661529983,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,11,26.118652435042108,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-7.4309244930876215,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,18,12.175949394936028,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,10,28.705348771924236,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,8,21.196642987889515,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,15,-17.218802609068184,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,9,11.468306828607195,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,8,-19.942023017578574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,13,-17.732511576197176,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,15.19753811946488,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,13,-7.9686618186130795,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,15,20.741189187711605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,14,-9.269484093231842,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,13,4.402059839895843,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,12,16.48603985213952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,10,20.095038616671406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
