trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.36890246742188,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.5552015159929,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.76702796433966,"{0: 13, 1: 8, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-236.34725536682737,"{0: 20, 1: 6, 2: 3, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.78633679745207,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.10601573893976,"{0: 20, 1: 2, 2: 9, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.1076596149574,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.91443869999418,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,6,-127.00574082105753,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.02119538244878,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.493626461318804,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.93140844057456,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.0225945347167,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-67.42901004762814,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.78396578130914,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.78735634964869,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.48668550911591,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-133.93507583159519,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.3811522927778,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.243247774087195,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.37818229057113,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.91459438430668,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-181.55553935031747,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.900602274595,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-53.43765540211862,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.765571464009,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.2244454743424,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,1,-59.86021787334142,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.73587937794802,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.63827622652629,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
